Var_1,Var_2,Factor,pd_value,rope_value
0.30000000000000004,0.11,11.0,1.0,1.0
0.30000000000000004,0.11,12.0,0.976,0.244
0.30000000000000004,0.11,13.0,1.0,0.0
0.30000000000000004,0.11,14.0,0.372,0.056
0.30000000000000004,0.11,15.0,1.0,0.0
0.30000000000000004,0.11,16.0,0.852,0.076
0.30000000000000004,0.11,17.0,0.172,0.024
0.30000000000000004,0.11,18.0,1.0,0.008
0.30000000000000004,0.11,19.0,0.44,0.072
0.30000000000000004,0.11,20.0,1.0,0.0
0.30000000000000004,0.11,21.0,1.0,0.0
0.30000000000000004,0.21000000000000002,0.0,0.936,0.0
0.30000000000000004,0.21000000000000002,1.0,1.0,0.0
0.30000000000000004,0.21000000000000002,2.0,0.992,0.008
0.30000000000000004,0.21000000000000002,3.0,0.0,1.0
0.30000000000000004,0.21000000000000002,4.0,0.732,0.06
0.30000000000000004,0.21000000000000002,5.0,0.224,0.012
0.30000000000000004,0.21000000000000002,6.0,0.948,0.008
0.30000000000000004,0.21000000000000002,7.0,0.32,0.024
0.30000000000000004,0.21000000000000002,8.0,1.0,0.0
0.30000000000000004,0.21000000000000002,9.0,0.324,0.76
0.30000000000000004,0.21000000000000002,10.0,0.812,0.096
0.30000000000000004,0.21000000000000002,11.0,1.0,1.0
0.30000000000000004,0.21000000000000002,12.0,0.796,0.28
0.30000000000000004,0.21000000000000002,13.0,1.0,0.008
0.30000000000000004,0.21000000000000002,14.0,0.448,0.044
0.30000000000000004,0.21000000000000002,15.0,1.0,0.0
0.30000000000000004,0.21000000000000002,16.0,0.716,0.068
0.30000000000000004,0.21000000000000002,17.0,0.284,0.016
0.30000000000000004,0.21000000000000002,18.0,0.924,0.048
0.30000000000000004,0.21000000000000002,19.0,0.564,0.04
0.30000000000000004,0.21000000000000002,20.0,1.0,0.0
0.30000000000000004,0.21000000000000002,21.0,1.0,0.0
0.30000000000000004,0.31000000000000005,0.0,0.904,0.004
0.30000000000000004,0.31000000000000005,1.0,1.0,0.0
0.30000000000000004,0.31000000000000005,2.0,0.972,0.004
0.30000000000000004,0.31000000000000005,3.0,0.0,1.0
0.30000000000000004,0.31000000000000005,4.0,0.62,0.136
0.30000000000000004,0.31000000000000005,5.0,0.188,0.04
0.30000000000000004,0.31000000000000005,6.0,0.928,0.004
0.30000000000000004,0.31000000000000005,7.0,0.284,0.04
0.30000000000000004,0.31000000000000005,8.0,1.0,0.0
0.30000000000000004,0.31000000000000005,9.0,0.352,0.66
0.30000000000000004,0.31000000000000005,10.0,0.66,0.068
0.30000000000000004,0.31000000000000005,11.0,1.0,1.0
0.30000000000000004,0.31000000000000005,12.0,0.692,0.236
0.30000000000000004,0.31000000000000005,13.0,0.984,0.048
0.30000000000000004,0.31000000000000005,14.0,0.36,0.132
0.30000000000000004,0.31000000000000005,15.0,1.0,0.0
0.30000000000000004,0.31000000000000005,16.0,0.68,0.04
0.30000000000000004,0.31000000000000005,17.0,0.292,0.02
0.30000000000000004,0.31000000000000005,18.0,0.864,0.028
